language,1A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,3A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,4A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,5A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,6A,70A,81A,82A,83A,84A,85A,86A,87A,88A,89A,8A,90A,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,109A,10A,110A,71A,72A,73A,74A,75A,76A,77A,78A,79A,7A,80A,111A,112A,113A,114A,115A,116A,117A,118A,119A,11A,120A
Aymara,Large,Ablaut/concatenative,Case + number,4-5 categories per word,Dependent marking,Head marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No case marking,Not syncretic,None,No gender,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem + nominal plural affix,Associative same as additive plural,"No definite, but indefinite article",No definite or indefinite article,No inclusive/exclusive,Moderately high,No person marking,Two-way contrast,Identical,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Interrogative-based,Identical,Pronouns only,3 cases,In both plosives and fricatives,No case-marking,Case suffixes,Differentiation,"First, two-th, three-th",Marked by preceding word,Absent,Formally different,No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Adjectives and relative clauses collapsed,Without marking,Other,'And' identical to 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,"From 'finish', 'already'",Tense-aspect suffixes,None,Second singular and second plural,No dominant order,SV,VO,VOX,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"Laterals, but no /l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Initial,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,VO and NRel,OV and AdjN,Neutral,Neutral,Active,Subject affixes on verb,No person marking,Zero in all 3sg forms,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Purposive but no sequential,Normal imperative + normal negative,Neither type of system,Inflectional optative present,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Direct and indirect,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Neither,"Negative word, unclear if verb or particle",Asymmetric,A/Cat,Predicate negation also present,Interrogative intonation only,Locational,Nonverbal encoding,Different,None,Impossible
Azerbaijani,Moderately large,Exclusively concatenative,Case + number,4-5 categories per word,Dependent marking,Double marking,Dependent-marking,Equal prefixing and suffixing,Productive full and partial reduplication,No case marking,Syncretic,None,No gender,Semantic and formal,Plural word,"All nouns, optional in inanimates",Person-number stem,Unique periphrastic associative plural,No definite or indefinite article,No definite or indefinite article,'We' the same as 'I',Moderately low,No inclusive/exclusive,Two-way contrast,Identical,Related for all demonstratives,"3rd person only, but also non-singular",Multiple politeness distinctions,Interrogative-based,Differentiated,Pronouns only,6-7 cases,In both plosives and fricatives,No case-marking,Case suffixes,Differentiation,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Optional,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Without marking,Sentential,'And' identical to 'with',Differentiation,Grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",Tense-aspect suffixes,None,Second singular and second plural,SOV,SV,VO,VOX,Postpositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Adjective-Degree word,No question particle,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and RelN,Other,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Obligatory pronouns in subject position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive object; only transitive,Contrast absent,Purposive but no sequential,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,Overlap for both possibility and necessity,No grammatical evidentials,Verbal affix or clitic,Tense,No glottalized consonants,None,Morphological but no compound,Negative affix,Symmetric,A/Cat,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Different,High and mid,Impossible
Bashkir,Moderately large,Exclusively concatenative,Monoexponential case,4-5 categories per word,Head marking,Dependent marking,Dependent-marking,Strongly suffixing,Productive full and partial reduplication,Core and non-core,Syncretic,Three,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Associative same as additive plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,Average,No inclusive/exclusive,Three-way contrast,Identical,Related to remote demonstratives,"3rd person only, but also non-singular",Binary politeness distinction,Interrogative-based,Identical,No person marking,8-9 cases,In both plosives and fricatives,No case-marking,Case suffixes,Differentiation,"One-th, two-th, three-th",Marked by suffix,Obligatory,"Formally similar, without interrogative",Possessive suffixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and relative clauses collapsed,Marked by suffix,Sentential,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,From possessive,Tense-aspect suffixes,Uvular stops and continuants,Second singular and second plural,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,Other position,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and RelN,OV and AdjN,Tripartite,Nominative - accusative (standard),Accusative,Subject affixes on verb,Both the A and P arguments,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast present,Purposive but no sequential,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,Indirect only,No grammatical evidentials,Tense,No glottalized consonants,None,Morphological but no compound,Negative affix,Asymmetric,A/Fin and A/Cat,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,High and mid,Impossible
Basque,Average,Exclusively concatenative,Monoexponential case,4-5 categories per word,Double marking,Dependent marking,Inconsistent or other,Equal prefixing and suffixing,Productive full and partial reduplication,Core cases only,Not syncretic,None,No gender,No gender,Plural clitic,"All nouns, always obligatory",Person-number stem,Unique periphrastic associative plural,Definite word distinct from demonstrative,Indefinite word same as 'one',No inclusive/exclusive,Moderately high,No inclusive/exclusive,Three-way contrast,Identical,Related for all demonstratives,No gender distinctions,Binary politeness distinction,Interrogative-based,Differentiated,No person marking,10 or more cases,In plosives alone,Syncretism in relevant NP-types,Postpositional clitics,Differentiation,"First, two-th, three-th",Marked by suffix,Absent,Formally different,No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Sentential,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Mixed type,None,Second singular and second plural,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,Other position,Not initial interrogative phrase,Final subordinator word,OV and Postpositions,OV and RelN,OV and NAdj,Active-inactive,Active - inactive,Ergative,Subject affixes on verb,Both the A and P arguments,No zero realization,P precedes A,Indirect-object construction,Distinct from reflexive,Present,Oblique patient,No applicative construction,Contrast absent,Purposive but no sequential,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Affixes on verbs,Affixes on verbs,Overlap for both possibility and necessity,Indirect only,Separate particle,Tense,No glottalized consonants,None,Morphological but no compound,Negative particle,Asymmetric,A/Cat,Predicate negation also present,Question particle,'Have',Nonverbal encoding,Different,None,Impossible
Bavarian,Average,Ablaut/concatenative,Monoexponential case,4-5 categories per word,Dependent marking,Dependent marking,Zero-marking,Strongly suffixing,Productive full and partial reduplication,No syncretism,Syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem,No associative plural,Definite affix,Indefinite word same as 'one',No inclusive/exclusive,Moderately high,No person marking,Three-way contrast,Different stem,Unrelated,No gender distinctions,Pronouns avoided for politeness,Interrogative-based,Identical,Pronouns only,No morphological case-marking,In plosives alone,Symmetrical,Case suffixes,Identity,"First, two-th, three-th",No distributive numerals,Obligatory,"Formally similar, without interrogative",No possessive affixes,Exists,No possessive classification,Other,Adjectives and relative clauses collapsed,Marked by preceding word,Other,'And' different from 'with',Differentiation,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,"From 'finish', 'already'",Tense-aspect suffixes,Uvular stops and continuants,Second singular,SOV,SV,OV,VOX,Prepositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,VO and Postpositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Tripartite,Neutral,Obligatory pronouns in subject position,Only the P argument,No person marking,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative present,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,No grammatical evidentials,Tense,No glottalized consonants,None,Morphological but no compound,Negative affix,Symmetric,Non-assignable,Predicate negation also present,Question particle,'Have',Mixed,Identical,High and mid,Impossible
Belarusian,Small,Exclusively concatenative,No case,4-5 categories per word,Dependent marking,Head marking,Dependent-marking,Strongly suffixing,No productive reduplication,No syncretism,Syncretic,None,No gender,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique periphrastic associative plural,No definite or indefinite article,Indefinite word same as 'one',No inclusive/exclusive,Moderately low,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,No gender distinctions,Pronouns avoided for politeness,Interrogative-based,Differentiated,No person marking,10 or more cases,In both plosives and fricatives,Syncretism in relevant NP-types,Case suffixes,Identity,"First, second, three-th",Marked by preceding word,Optional,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Mixed,'And' different from 'with',Differentiation,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Mixed type,None,Second singular and second plural,No dominant order,No dominant order,No dominant order,No dominant order,Prepositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Initial,Mixed,Initial subordinator word,Other,Other,Other,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,Benefactive and other; both bases,Contrast absent,Sequential but no purposive,Special imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Indirect only,No grammatical evidentials,Tense and aspect,Ejectives only,None,Morphological but no compound,Negative particle,Both,A/Fin and A/Cat,Mixed behaviour,Question particle,Genitive,Nonverbal encoding,Different,None,Possible
Bengali,Moderately large,Exclusively concatenative,Case + number,4-5 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,No productive reduplication,Core and non-core,No subject person/number marking,None,No gender,No gender,Plural suffix,"All nouns, optional in inanimates",Person-number stem + pronominal plural affix,Unique affixal associative plural,No definite or indefinite article,Indefinite word distinct from 'one',No inclusive/exclusive,Average,No inclusive/exclusive,Three-way contrast,Different stem,Related for all demonstratives,No gender distinctions,Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,10 or more cases,In plosives alone,No case-marking,Case suffixes,Differentiation,"First, two-th, three-th",Marked by reduplication,Obligatory,"Formally similar, without interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Highly differentiated,Without marking,Mixed,'And' different from 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,None,Second person number-neutral,SOV,SV,OV,XOV,Postpositions,Noun-Genitive,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,VO and RelN,VO and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Obligatory pronouns in subject position,Only the A argument,No person marking,A and P do not or do not both occur on the verb,Mixed,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Sequential but no purposive,Normal imperative + normal negative,Neither type of system,Inflectional optative absent,Affixes on verbs,Affixes on verbs,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,Tense and aspect,No glottalized consonants,None,Neither,Negative particle,Both,A/Cat,Predicate negation also present,Interrogative intonation only,Genitive,Nonverbal encoding,Identical,None,Possible
Bhojpuri,Large,Ablaut/concatenative,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,No productive reduplication,Core cases only,Not syncretic,Two,No gender,No gender,Plural suffix,"All nouns, always optional",Person stem + pronominal plural affix,No associative plural,No definite or indefinite article,"No indefinite, but definite article",No inclusive/exclusive,Average,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,No gender distinctions,Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,10 or more cases,In fricatives alone,Syncretism in relevant NP-types,Case suffixes,Differentiation,"One-th, two-th, three-th",Marked by preceding word,Obligatory,Formally different,No possessive affixes,Absent,Two classes,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by preceding word,Ergative-Possessive,'And' different from 'with',Identity,No grammatical marking,No past tense,Inflectional future exists,Other perfect,Tense-aspect suffixes,None,Second person number-neutral,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,Initial,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,VO and NRel,OV and AdjN,Active-inactive,Active - inactive,Accusative,Optional pronouns in subject position,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Absent,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + normal negative,Maximal system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,Direct and indirect,No grammatical evidentials,Tense,No glottalized consonants,None,Neither,Negative auxiliary verb,Both,Non-assignable,Predicate negation also present,Question particle,Topic,Verbal encoding,Identical,None,Possible
Bosnian,Moderately small,Exclusively concatenative,Monoexponential case,2-3 categories per word,Dependent marking,Dependent marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,Core and non-core,Not syncretic,None,Sex-based,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Associative same as additive plural,"No definite, but indefinite article",No definite or indefinite article,No inclusive/exclusive,Moderately low,No inclusive/exclusive,Two-way contrast,Identical,Related to remote demonstratives,No gender distinctions,Multiple politeness distinctions,Interrogative-based,Identical,Pronouns only,No morphological case-marking,In both plosives and fricatives,Subtractive-quantitatively asymmetrical,Case suffixes,Differentiation,"First, second, three-th",Marked by reduplication,Absent,Formally different,No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Marked by preceding word,Possessive-Accusative,'And' identical to 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,No perfect,Tense-aspect suffixes,Uvular stops and continuants,No second-person imperatives,No dominant order,SV,OV,XOV,Postpositions,Genitive-Noun,Adjective-Noun,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Relative clause-Noun,Degree word-Adjective,No question particle,Initial interrogative phrase,Initial subordinator word,OV and Postpositions,VO and NRel,OV and NAdj,Neutral,Nominative - accusative (standard),Active,Subject pronouns in different position,No person marking,No person marking,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Contrast absent,Purposive but no sequential,Special imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,No overlap,Indirect only,No grammatical evidentials,None,No glottalized consonants,None,Morphological but no compound,Negative particle,Symmetric,A/Cat,Predicate negation also present,Question particle,'Have',Nonverbal encoding,Identical,None,Impossible
Breton,Average,Exclusively isolating,No case,4-5 categories per word,Dependent marking,Head marking,Dependent-marking,Weakly suffixing,Productive full and partial reduplication,Core and non-core,Syncretic,None,Sex-based,No gender,Plural suffix,"All nouns, optional in inanimates",Person-number stem + pronominal plural affix,Unique affixal associative plural,Definite word distinct from demonstrative,Indefinite word distinct from 'one',No inclusive/exclusive,Average,No person marking,Two-way contrast,Different inflection,Unrelated,In 3rd person + 1st and/or 2nd person,Binary politeness distinction,Interrogative-based,Identical,Pronouns only,No morphological case-marking,In both plosives and fricatives,Syncretism in relevant NP-types,Prepositional clitics,Identity,"First, second, three-th",No distributive numerals,Absent,Formally different,Possessive suffixes,Absent,Two classes,None missing in /p t k b d g/,Highly differentiated,Without marking,Ergative-Possessive,'And' different from 'with',Identity,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,SVO,VS,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,No dominant order,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Subject affixes on verb,Both the A and P arguments,No zero realization,A and P do not or do not both occur on the verb,Double-object construction,Distinct from reflexive,Absent,Oblique patient,No applicative construction,Contrast present,Purposive but no sequential,Special imperative + normal negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,No overlap,No grammatical evidentials,No grammatical evidentials,None,No glottalized consonants,None,Morphological but no compound,Double negation,Both,A/Cat,Predicate negation also present,Question particle,Locational,Nonverbal encoding,Identical,High and mid,Impossible
Bulgarian,Average,Ablaut/concatenative,No case,2-3 categories per word,Dependent marking,Dependent marking,Dependent-marking,Strongly suffixing,No productive reduplication,No case marking,No subject person/number marking,None,No gender,Semantic and formal,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,Unique affixal associative plural,Definite word distinct from demonstrative,Indefinite word distinct from 'one','We' the same as 'I',Average,No inclusive/exclusive,Two-way contrast,Identical,Unrelated,No gender distinctions,Binary politeness distinction,Interrogative-based,Differentiated,Pronouns only,No morphological case-marking,In both plosives and fricatives,Additive-quantitatively asymmetrical,No case affixes or adpositional clitics,Differentiation,"First, second, three-th",Marked by preceding word,Absent,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,None missing in /p t k b d g/,Genitives and adjectives collapsed,Without marking,Ergative-Possessive,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,None,Second singular and second plural,SVO,No dominant order,VO,VOX,Prepositions,No dominant order,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,"/l/, no obstruent laterals",Noun-Relative clause,Degree word-Adjective,Second position,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Subject affixes on verb,Both the A and P arguments,No person marking,A precedes P,Indirect-object construction,Mixed,Present,No antipassive,No applicative construction,Contrast present,Purposive but no sequential,Special imperative + special negative,Maximal system,Inflectional optative absent,Verbal constructions,Other,Overlap for either possibility or necessity,Direct and indirect,Part of the tense system,Tense,No glottalized consonants,None,Morphological but no compound,Negative particle,Symmetric,A/Fin,Predicate negation also present,Question particle,Genitive,Nonverbal encoding,Identical,None,Impossible
