length,position,n,empirical_stat,ci_lower,mean,ci_upper,language,speaker,gram
7,5,2330,6.409700569263529,6.320466404514391,6.411266582020092,6.498207712396863,French,Child,Unigram
7,6,2330,6.966134875255306,6.8755256528646855,6.965980353934669,7.05544132019442,French,Child,Unigram
7,7,2330,7.957114538842559,7.859352435713431,7.956968995243757,8.052426690367346,French,Child,Unigram
9,1,1170,5.666859667006609,5.567680202715009,5.667423817759869,5.771637194637454,French,Parent,Unigram
9,2,1170,6.245009778955087,6.125702413411825,6.241139795573087,6.361883348812408,French,Parent,Unigram
9,3,1170,6.04154294628938,5.9269343851772796,6.042663986580586,6.159990664278598,French,Parent,Unigram
9,4,1170,6.423539380244302,6.290319412178573,6.423506409575293,6.5464759594879185,French,Parent,Unigram
9,5,1170,6.627977256592476,6.504415538708335,6.627858629679132,6.758472798372287,French,Parent,Unigram
9,6,1170,6.560037552648077,6.428984111757164,6.562673262297599,6.684968874324146,French,Parent,Unigram
9,7,1170,6.657882710476289,6.535108899268153,6.661205337569496,6.782407611946281,French,Parent,Unigram
9,8,1170,7.1242276894276015,6.991029296373689,7.123879100005811,7.25814669798477,French,Parent,Unigram
9,9,1170,7.953042691801755,7.821149408065902,7.955482489820874,8.096114559900988,French,Parent,Unigram
5,1,3818,5.788764731937169,5.722692345646588,5.787543217670876,5.850141259069961,French,Parent,Unigram
5,2,3818,6.3710542707257964,6.300103158233531,6.372245177557731,6.443443460700554,French,Parent,Unigram
5,3,3818,6.007809909197222,5.94165785149579,6.008553686702153,6.072809654091009,French,Parent,Unigram
5,4,3818,6.426720348945177,6.3590184490160135,6.4261536845981695,6.4880963015917015,French,Parent,Unigram
5,5,3818,7.7961394381874625,7.727724253916799,7.795758666026767,7.870881887439617,French,Parent,Unigram
7,1,2330,5.750575304963172,5.675453391017348,5.749450079852963,5.824135364898549,French,Parent,Unigram
7,2,2330,6.3075111581140515,6.216631267077194,6.307743423009858,6.392822747256489,French,Parent,Unigram
7,3,2330,6.1092129969678295,6.026036848132374,6.109721651903878,6.193282218450367,French,Parent,Unigram
7,4,2330,6.196802090795642,6.1103867583111695,6.199325359318154,6.284414671456542,French,Parent,Unigram
7,5,2330,6.409700569263529,6.321364989089391,6.4085704844532145,6.4990848828445715,French,Parent,Unigram
7,6,2330,6.966134875255306,6.866453687646436,6.96284009047105,7.056424670969453,French,Parent,Unigram
