language1,language2,cosine,gram
Urdu,Alemannic,-0.08707936118193169,unigram
Urdu,Wolof,0.6135683567523702,unigram
Urdu,Bosnian,0.29528105151436723,unigram
Urdu,Urdu,1,unigram
Urdu,Afrikaans,0.014492051213257496,unigram
Urdu,Anglo-Saxon,0.19508310659568628,unigram
Urdu,Silesian,0.4282328740256519,unigram
Urdu,Acehnese,0.5377806104000422,unigram
Urdu,Wu,0.8287615037457086,unigram
Urdu,Chuvash,0.6144603591455524,unigram
Urdu,Gagauz,0.408909283046099,unigram
Urdu,Karachay-Balkar,0.45265375348459325,unigram
Urdu,Sakha,0.16763230383734834,unigram
Urdu,Basque,0.6681917321977754,unigram
Urdu,Slovak,0.3752569378035826,unigram
Urdu,Bashkir,0.6514508155805216,unigram
Urdu,Tamil,0.526045059018633,unigram
Urdu,Telugu,-0.10507548825206026,unigram
Urdu,Georgian,0.38388233906536645,unigram
Urdu,Tatar,0.7484020392247283,unigram
Urdu,Uyghur,-0.4798929810775612,unigram
Urdu,Icelandic,0.5637574170697753,unigram
Urdu,Belarusian,0.2079572597613575,unigram
Urdu,Gujarati,0.0026620065819015675,unigram
Urdu,Marathi,0.027943945505270996,unigram
Urdu,Estonian,0.3317072301569904,unigram
Urdu,Finnish,0.5203762102595444,unigram
Urdu,Hungarian,-0.4340456486873066,unigram
Urdu,Bulgarian,0.6093922708885322,unigram
Urdu,Yoruba,0.659718710523453,unigram
Urdu,Quechua,0.6022204075922166,unigram
Urdu,Croatian,0.39652503413816226,unigram
Urdu,Macedonian,0.42956986466645997,unigram
Urdu,Serbo-Croatian,0.4329515426532731,unigram
Urdu,Pangasinan,-0.26301378499620537,unigram
Urdu,Kapampangan,0.31503437285663827,unigram
Urdu,Khmer,0.2802124495919749,unigram
Urdu,Javanese,0.7575190277416394,unigram
Urdu,Malay,0.6024978167139526,unigram
Urdu,Sundanese,0.34064562668054477,unigram
Urdu,Hakka,0.8148384377235602,unigram
Urdu,Turkish,0.5980932613651782,unigram
Urdu,Kazakh,0.1084063454810341,unigram
