language,source,gram,family,1,2,3,4,5
Welsh,wikipedia,trigram,Indo-European,1.274657290338196,-0.2956947808264274,-0.28518809160754466,-0.4837531382845064,-0.2100212796197174
Armenian,wikipedia,unigram,Indo-European,0.1845267617092068,-0.36220862372579,0.03204463600468754,0.32819949657123004,-0.18256227055933438
Armenian,wikipedia,trigram,Indo-European,1.7238787431955753,-0.5502455062670468,-0.49877608365959325,-0.037706857374042224,-0.6371502958948935
Korean,wikipedia,unigram,Korean,0.33485319984514206,-0.14128995774029374,-0.06366292719084221,0.08538473283129999,-0.21528504774530788
Korean,wikipedia,trigram,Korean,3.0015087627087587,-0.23490275401112815,-0.8822528383290958,-0.9144343855563555,-0.9699187848121785
Assamese,wikipedia,unigram,Indo-European,0.15233360361111314,-0.25436081595792537,0.16785178855936778,0.04255157789849662,-0.10837615411105217
Assamese,wikipedia,trigram,Indo-European,1.6099445766185372,0.16065071890521798,-0.5385470900268594,-0.7358113016447982,-0.4962369038520973
Bhojpuri,wikipedia,unigram,Indo-European,0.3125952058775261,-0.068504207269235,0.16544803386150342,-0.35629230546471335,-0.05324672700508115
Bhojpuri,wikipedia,trigram,Indo-European,1.7339297789100294,0.09982187551260902,-0.5220106606477523,-0.5910596810882316,-0.7206813126866546
Divehi,wikipedia,unigram,Indo-European,-0.15569807603176455,0.026696202832325433,0.10117409231811259,-0.06517854066221318,0.09300632154353838
Divehi,wikipedia,trigram,Indo-European,2.028140684017564,-0.08708641472055878,-0.6033428078126111,-0.6355694054653397,-0.7021420560190546
Catalan,wikipedia,unigram,Indo-European,-0.2500476456222822,-0.02844274363024324,-0.22453545607360903,-0.3401201831505416,0.8431460284766756
Catalan,wikipedia,trigram,Indo-European,1.3917570490271245,0.08635832970844137,-0.6380534205304831,-0.5010030805556804,-0.3390588776494019
Walloon,wikipedia,unigram,NA,-0.3048228816429157,-0.0664296756453231,-0.2130917930131062,-0.13146731324553107,0.715811663546877
Walloon,wikipedia,trigram,NA,1.1766952614123378,-0.3909720452882197,-0.36904109835124554,-0.33493149390552945,-0.08175062386734355
Yiddish,wikipedia,unigram,NA,-0.3866368881122497,0.012864909663109714,-0.24139763702329553,-0.1380586840384339,0.7532282995108699
Yiddish,wikipedia,trigram,NA,1.0938369626159825,0.04845843783563719,-0.454605342649931,-0.3810104632635316,-0.3066795945381575
Maltese,wikipedia,unigram,Afro-Asiatic,0.073058104646881,-0.23652020928286888,-0.29402408064692764,-0.10619985463298631,0.5636860399159014
Maltese,wikipedia,trigram,Afro-Asiatic,1.7947993847502992,-0.47896817491104904,-0.46679942633458227,-0.4449102514304544,-0.4041215320742131
Romansh,wikipedia,unigram,Indo-European,-0.3371105557134575,-0.034364083573954485,-0.2111236994251624,-0.32850982420428876,0.911108162916864
Romansh,wikipedia,trigram,Indo-European,1.061718849456542,-0.0015519425803172116,-0.36333899561841454,-0.5166113467946023,-0.18021656446320744
Bavarian,wikipedia,unigram,Indo-European,-0.2981645316513535,-0.08992298765033357,-0.03486587773876604,0.023293961678042763,0.3996594353624108
Bavarian,wikipedia,trigram,Indo-European,1.3668373422319688,0.35550123250838794,-0.6776011905832932,-0.4739363903632132,-0.5708009937938505
Faroese,wikipedia,unigram,Indo-European,0.0926079584749182,-0.26056005441335417,-0.22350923843665083,-0.2092091788954651,0.600670513270551
Faroese,wikipedia,trigram,Indo-European,1.784739309653233,-0.22361225451996813,-0.5715475890255735,-0.5268503299408143,-0.46272913616687705
Ripuarian,wikipedia,unigram,Indo-European,-0.38993714575079297,-0.2522647733672523,-0.11712539123054633,0.14615028965627452,0.613177020692317
Ripuarian,wikipedia,trigram,Indo-European,1.1885561471035924,0.21073383114625766,-0.475635832787316,-0.5077021250029454,-0.4159520204595888
Luxembourgish,wikipedia,unigram,Indo-European,-0.20772207743375848,-0.06292405687077807,-0.20586751789004643,-0.00945887508758192,0.48597252728216445
Luxembourgish,wikipedia,trigram,Indo-European,1.358646577542656,0.03690005140228547,-0.4496403916969067,-0.407040993544201,-0.5388652437038333
Limburgish,wikipedia,unigram,NA,-0.6143299372662372,-0.19440889033733288,-0.11380740250609911,0.008720355722888318,0.9138258743867809
Limburgish,wikipedia,trigram,NA,0.8638640010610388,-0.392691862784063,-0.229177310910732,-0.15149306530093853,-0.09050176206530569
Scots,wikipedia,unigram,NA,-0.015668403028619604,-0.16914374605024607,-0.13766839891697957,-0.13263598194130521,0.4551165299371509
Scots,wikipedia,trigram,NA,1.4178789381149142,0.007157324693680911,-0.5712022556608034,-0.40115745329330665,-0.45267655385448546
Zeelandic,wikipedia,unigram,Indo-European,0.006448935875589701,-0.6956527731153592,-0.1962144461144737,0.1679290156745421,0.7174892676797011
Zeelandic,wikipedia,trigram,Indo-European,1.1698950031958317,-0.5525220611218257,-0.36807259039697937,-0.029374822604401718,-0.21992552907262541
Aragonese,wikipedia,unigram,NA,-0.13514346332503413,-0.3840847613298841,-0.2717105426391253,-0.16660153976516368,0.9575403070592072
Aragonese,wikipedia,trigram,NA,1.3117086135069609,-0.35544794687879233,-0.3082396996551604,-0.5060486634793917,-0.14197230349361623
Asturian,wikipedia,unigram,Indo-European,-0.026099046985300856,-0.15395762740135366,-0.23631384710686154,-0.34306964963443987,0.759440171127955
Asturian,wikipedia,trigram,Indo-European,1.5506261240259769,0.048295569048828035,-0.6626375879796589,-0.5246211031007144,-0.41166300199443207
Emilian-Romagnol,wikipedia,unigram,Indo-European,-0.5382281189293594,-0.1250985111799534,-0.37812935482300647,-0.05668469545984989,1.0981406803921683
Emilian-Romagnol,wikipedia,trigram,Indo-European,0.9167271727422497,-0.12008182820621616,-0.5142796481335277,-0.245930563390514,-0.036435133011992304
Extremaduran,wikipedia,unigram,NA,-0.2963651703276118,-0.14934054595932356,-0.061058085875368207,-0.29856382921006963,0.8053276313723741
Extremaduran,wikipedia,trigram,NA,1.2513951910949566,0.11767424978409169,-0.43651607381834756,-0.5811198703314349,-0.3514334967292658
Franco-Provençal,wikipedia,unigram,NA,0.030274417934537556,-0.34249212842047694,-0.026312334015667016,-0.35406422678200355,0.6925942712836091
Franco-Provençal,wikipedia,trigram,NA,1.3977107119907115,-0.06254242732148896,-0.43300949737128247,-0.6301899768058953,-0.2719688104920446
Friulian,wikipedia,unigram,NA,-0.2223645185532508,0.07544678466848875,-0.41501974244184936,-0.20033479226736928,0.7622722685939802
Friulian,wikipedia,trigram,NA,1.2189695553422089,0.06129521163801388,-0.5052609645613506,-0.4141966997472184,-0.36080710267165417
Ladino,wikipedia,unigram,Indo-European,-0.20195665543421892,-0.1078316911004138,-0.09694510611942064,-0.4701795925190977,0.8769130451731519
Ladino,wikipedia,trigram,Indo-European,1.300947975406043,-0.4117357722739554,-0.3612998520989783,-0.3071325903139839,-0.2207797607191253
Lombard,wikipedia,unigram,NA,-0.019823099135595434,-0.44416287329716164,-0.12725252669142995,-0.38822025565040263,0.9794587547745892
Lombard,wikipedia,trigram,NA,1.369322902978349,-0.5474187111306245,-0.42574016152966077,-0.3254686477475992,-0.07069538257046504
Mirandese,wikipedia,unigram,NA,-0.17098479439339842,0.015829155296993136,-0.24333504396984118,-0.41693789705885775,0.8154285801251051
Mirandese,wikipedia,trigram,NA,1.1535493006704403,0.007251669426093343,-0.5527024661705848,-0.422359967680759,-0.1857385362451902
Neapolitan,wikipedia,unigram,Indo-European,0.5466344577883189,-0.12378150768410423,-0.8130629362892026,-0.5597454630441598,0.9499554492291487
Neapolitan,wikipedia,trigram,Indo-European,1.7939901856347769,-0.8771835437629505,-0.6660948213856004,-0.4694813279417034,0.21876950745547696
Occitan,wikipedia,unigram,Indo-European,-0.035730102714900625,-0.16992456172455084,-0.23570878859430344,-0.5143012375017921,0.9556646905355466
Occitan,wikipedia,trigram,Indo-European,1.4246950218443475,-0.06324689565970187,-0.6112504126346079,-0.47593620095238975,-0.2742615125976484
Picard,wikipedia,unigram,NA,0.21510037575326635,-0.08934536574318797,-0.19102549451157103,-0.39073396269722416,0.4560044471987159
Picard,wikipedia,trigram,NA,1.6775341157420405,-0.12087393524479428,-0.4249379386727199,-0.6801107796297271,-0.4516114621947991
Sardinian,wikipedia,unigram,NA,-0.09566559112539208,-0.17979251236380156,-0.2545506736946561,-0.43055059746230384,0.9605593746461532
Sardinian,wikipedia,trigram,NA,1.2748516321362027,-0.15409411312347565,-0.5737469577234233,-0.41473931443515544,-0.13227124685414782
Sicilian,wikipedia,unigram,NA,-0.03636215888825545,-0.43629668774119157,-0.07091801380717122,-0.2119810310389454,0.7555578914755645
Sicilian,wikipedia,trigram,NA,1.4612632621404595,0.0958170525501778,-0.4643850132512579,-0.7307483388228336,-0.36194696261654613
Venetian,wikipedia,unigram,NA,-0.4200228957189056,0.028909297905744147,-0.37315075650664165,-0.1828188391458716,0.9470831934656752
Venetian,wikipedia,trigram,NA,0.9823989923002545,-0.3648053695545881,-0.29632497492673626,-0.21860836215995993,-0.10266028565896979
Czech,wikipedia,unigram,Indo-European,-0.2211210115583655,-0.08422130466402544,-0.18783897132682537,-0.0524609744868596,0.5456422620360772
Czech,wikipedia,trigram,Indo-European,2.0862696348835996,0.029185830789754785,-0.6593418378903775,-0.6907118646492688,-0.7654017631337081
Rusyn,wikipedia,unigram,NA,0.03649883943216192,-0.32590871754924056,-0.09976379411337577,0.014971754018446415,0.37420191821200843
