position,length,speaker,language,n,empirical_stat,ci_lower,mean,ci_upper
6,8,Child,Chinese,2546,1.1310347580853541,1.097787592526692,1.129754197619042,1.1561926640119502
7,8,Child,Chinese,2546,1.1223578461491959,1.0904920045658069,1.121582553666685,1.1478930119749888
8,8,Child,Chinese,2546,1.0249018446254805,0.9934433920146533,1.0247651495553336,1.0679287913364401
1,6,Child,Chinese,6518,8.043746967701942,8.030122856360046,8.044685060610687,8.057076111272202
2,6,Child,Chinese,6518,1.8540101872151817,1.831413865435083,1.852629658359441,1.8708956895557858
3,6,Child,Chinese,6518,1.2956368483148055,1.2750349760595074,1.294835693646004,1.312915124108397
4,6,Child,Chinese,6518,1.1878554456326889,1.1710073958431955,1.188716705025029,1.2066925546076077
5,6,Child,Chinese,6518,1.101569489234428,1.0866906265304952,1.1026318592090993,1.119594207815723
6,6,Child,Chinese,6518,1.063279512799858,1.044179028284517,1.061469055027931,1.077093668738806
1,7,Child,Chinese,3893,8.056518790962578,8.042985328310044,8.058151832261368,8.073941957197304
2,7,Child,Chinese,3893,1.8657514731130103,1.8441676199298391,1.867829616217389,1.8934637683539657
3,7,Child,Chinese,3893,1.2896652729995692,1.2687943774049888,1.290655272153359,1.3138067604963863
4,7,Child,Chinese,3893,1.1627617742174425,1.1426179732665163,1.161901830768879,1.1834192982835816
5,7,Child,Chinese,3893,1.179105373877901,1.1555117433064401,1.177456239066576,1.2008616056397552
6,7,Child,Chinese,3893,1.1122201808216086,1.0860575197198048,1.1133841826589317,1.1348317562523276
7,7,Child,Chinese,3893,1.0445544129314566,1.0244815862365593,1.045667395180796,1.068974614492456
1,3,Child,Chinese,22064,8.137532206399445,8.13104960358039,8.138036440569824,8.14707564597894
2,3,Child,Chinese,22064,1.8209971222780683,1.8108217218794884,1.8209891684473296,1.8321480711612734
3,3,Child,Chinese,22064,1.0611351864484015,1.0489412768216475,1.0618148465429724,1.0712556465530931
1,9,Child,Chinese,1644,8.08077600634591,8.05532284859033,8.08221841566464,8.106056209151472
2,9,Child,Chinese,1644,1.838791221887816,1.806995611592511,1.8378584077990547,1.8779880968396099
3,9,Child,Chinese,1644,1.2357001862966812,1.2016856889872656,1.234172289726798,1.2777551596073338
4,9,Child,Chinese,1644,1.1931360946954601,1.1492318925631309,1.1909050266151011,1.2238590667753904
5,9,Child,Chinese,1644,1.159035388715656,1.1295308687572352,1.1589451162440934,1.1927028716988226
6,9,Child,Chinese,1644,1.125245722250927,1.0956854287507758,1.1262927660440296,1.1562262001807673
7,9,Child,Chinese,1644,1.1400894437103086,1.1066990331757969,1.141706080879028,1.1722320978912704
8,9,Child,Chinese,1644,1.0922837366152853,1.0577098866811343,1.091536415744292,1.13578603356134
9,9,Child,Chinese,1644,1.0451999683739785,1.0111220364080438,1.0464599265814407,1.0829827280157676
1,5,Adult,French,5101,6.995985868233743,6.980771946493398,6.996624737365459,7.01225691292478
