size,final_cost,marginal_cost,source,language,gram
8,0.011,0.0009999999999999992,wikipedia,Uyghur,trigram
9,0.01,-0.0009999999999999992,wikipedia,Uyghur,trigram
10,0.01,0.0,wikipedia,Uyghur,trigram
11,0.01,0.0,wikipedia,Uyghur,trigram
12,0.01,0.0,wikipedia,Uyghur,trigram
13,0.01,0.0,wikipedia,Uyghur,trigram
14,0.01,0.0,wikipedia,Uyghur,trigram
2,0.452,0,wikipedia,Icelandic,unigram
3,0.319,-0.133,wikipedia,Icelandic,unigram
4,0.275,-0.043999999999999984,wikipedia,Icelandic,unigram
5,0.22,-0.05500000000000002,wikipedia,Icelandic,unigram
6,0.238,0.017999999999999988,wikipedia,Icelandic,unigram
7,0.17,-0.06799999999999998,wikipedia,Icelandic,unigram
8,0.165,-0.0050000000000000044,wikipedia,Icelandic,unigram
9,0.158,-0.007000000000000006,wikipedia,Icelandic,unigram
10,0.158,0.0,wikipedia,Icelandic,unigram
11,0.163,0.0050000000000000044,wikipedia,Icelandic,unigram
12,0.163,0.0,wikipedia,Icelandic,unigram
13,0.164,0.0010000000000000009,wikipedia,Icelandic,unigram
14,0.15,-0.014000000000000012,wikipedia,Icelandic,unigram
2,0.37,0,wikipedia,Icelandic,trigram
3,0.34,-0.02999999999999997,wikipedia,Icelandic,trigram
4,0.346,0.00599999999999995,wikipedia,Icelandic,trigram
5,0.163,-0.18299999999999997,wikipedia,Icelandic,trigram
6,0.184,0.02099999999999999,wikipedia,Icelandic,trigram
7,0.175,-0.009000000000000008,wikipedia,Icelandic,trigram
8,0.177,0.0020000000000000018,wikipedia,Icelandic,trigram
9,0.199,0.02200000000000002,wikipedia,Icelandic,trigram
10,0.203,0.0040000000000000036,wikipedia,Icelandic,trigram
11,0.208,0.004999999999999977,wikipedia,Icelandic,trigram
12,0.213,0.0050000000000000044,wikipedia,Icelandic,trigram
13,0.217,0.0040000000000000036,wikipedia,Icelandic,trigram
14,0.222,0.0050000000000000044,wikipedia,Icelandic,trigram
1,0.619,0,wikipedia,Belarusian,unigram
2,0.455,-0.16399999999999998,wikipedia,Belarusian,unigram
